Engineering,15001,View
Operations,15002,View
GenericControllerType,15003,ObjectType
GenericControllerType_SetPoint,15006,Variable
GenericControllerType_SetPoint_Definition,15007,Variable
GenericControllerType_SetPoint_ValuePrecision,15008,Variable
GenericControllerType_SetPoint_InstrumentRange,15009,Variable
GenericControllerType_SetPoint_EURange,15010,Variable
GenericControllerType_SetPoint_EngineeringUnits,15011,Variable
GenericControllerType_Measurement,15012,Variable
GenericControllerType_Measurement_Definition,15013,Variable
GenericControllerType_Measurement_ValuePrecision,15014,Variable
GenericControllerType_Measurement_InstrumentRange,15015,Variable
GenericControllerType_Measurement_EURange,15016,Variable
GenericControllerType_Measurement_EngineeringUnits,15017,Variable
FlowControllerType,15018,ObjectType
FlowControllerType_SetPoint,15021,Variable
FlowControllerType_SetPoint_Definition,15022,Variable
FlowControllerType_SetPoint_ValuePrecision,15023,Variable
FlowControllerType_SetPoint_InstrumentRange,15024,Variable
FlowControllerType_SetPoint_EURange,15025,Variable
FlowControllerType_SetPoint_EngineeringUnits,15026,Variable
FlowControllerType_Measurement,15027,Variable
FlowControllerType_Measurement_Definition,15028,Variable
FlowControllerType_Measurement_ValuePrecision,15029,Variable
FlowControllerType_Measurement_InstrumentRange,15030,Variable
FlowControllerType_Measurement_EURange,15031,Variable
FlowControllerType_Measurement_EngineeringUnits,15032,Variable
LevelControllerType,15033,ObjectType
LevelControllerType_SetPoint,15036,Variable
LevelControllerType_SetPoint_Definition,15037,Variable
LevelControllerType_SetPoint_ValuePrecision,15038,Variable
LevelControllerType_SetPoint_InstrumentRange,15039,Variable
LevelControllerType_SetPoint_EURange,15040,Variable
LevelControllerType_SetPoint_EngineeringUnits,15041,Variable
LevelControllerType_Measurement,15042,Variable
LevelControllerType_Measurement_Definition,15043,Variable
LevelControllerType_Measurement_ValuePrecision,15044,Variable
LevelControllerType_Measurement_InstrumentRange,15045,Variable
LevelControllerType_Measurement_EURange,15046,Variable
LevelControllerType_Measurement_EngineeringUnits,15047,Variable
MachineInfoType_Manufacturer,15048,Variable
MachineInfoType_SerialNumber,15049,Variable
TemperatureControllerType,15050,ObjectType
TemperatureControllerType_SetPoint,15051,Variable
TemperatureControllerType_SetPoint_Definition,15052,Variable
TemperatureControllerType_SetPoint_ValuePrecision,15053,Variable
TemperatureControllerType_SetPoint_InstrumentRange,15054,Variable
TemperatureControllerType_SetPoint_EURange,15055,Variable
TemperatureControllerType_SetPoint_EngineeringUnits,15056,Variable
TemperatureControllerType_Measurement,15057,Variable
TemperatureControllerType_Measurement_Definition,15058,Variable
TemperatureControllerType_Measurement_ValuePrecision,15059,Variable
TemperatureControllerType_Measurement_InstrumentRange,15060,Variable
TemperatureControllerType_Measurement_EURange,15061,Variable
TemperatureControllerType_Measurement_EngineeringUnits,15062,Variable
MachineType_MachineInfo_Manufacturer,15063,Variable
MachineType_MachineInfo_SerialNumber,15064,Variable
MachineType_Temperature,15065,Object
MachineType_Temperature_SetPoint,15066,Variable
MachineType_Temperature_SetPoint_Definition,15067,Variable
MachineType_Temperature_SetPoint_ValuePrecision,15068,Variable
MachineType_Temperature_SetPoint_InstrumentRange,15069,Variable
MachineType_Temperature_SetPoint_EURange,15070,Variable
MachineType_Temperature_SetPoint_EngineeringUnits,15071,Variable
MachineType_Temperature_Measurement,15072,Variable
MachineType_Temperature_Measurement_Definition,15073,Variable
MachineType_Temperature_Measurement_ValuePrecision,15074,Variable
MachineType_Temperature_Measurement_InstrumentRange,15075,Variable
MachineType_Temperature_Measurement_EURange,15076,Variable
MachineType_Temperature_Measurement_EngineeringUnits,15077,Variable
MachineType_Flow,15078,Object
MachineType_Flow_SetPoint,15079,Variable
MachineType_Flow_SetPoint_Definition,15080,Variable
MachineType_Flow_SetPoint_ValuePrecision,15081,Variable
MachineType_Flow_SetPoint_InstrumentRange,15082,Variable
MachineType_Flow_SetPoint_EURange,15083,Variable
MachineType_Flow_SetPoint_EngineeringUnits,15084,Variable
MachineType_Flow_Measurement,15085,Variable
MachineType_Flow_Measurement_Definition,15086,Variable
MachineType_Flow_Measurement_ValuePrecision,15087,Variable
MachineType_Flow_Measurement_InstrumentRange,15088,Variable
MachineType_Flow_Measurement_EURange,15089,Variable
MachineType_Flow_Measurement_EngineeringUnits,15090,Variable
MachineType_Level,15091,Object
MachineType_Level_SetPoint,15092,Variable
MachineType_Level_SetPoint_Definition,15093,Variable
MachineType_Level_SetPoint_ValuePrecision,15094,Variable
MachineType_Level_SetPoint_InstrumentRange,15095,Variable
MachineType_Level_SetPoint_EURange,15096,Variable
MachineType,15097,ObjectType
MachineType_MachineInfo,15098,Object
MachineType_MachineInfo_MachineName,15099,Variable
MachineType_MachineInfo_IsProducing,15100,Variable
MachineType_MachineInfo_MachineState,15101,Variable
MachineType_Level_SetPoint_EngineeringUnits,15150,Variable
MachineType_Level_Measurement,15151,Variable
MachineType_Level_Measurement_Definition,15152,Variable
MachineType_Level_Measurement_ValuePrecision,15153,Variable
MachineType_Level_Measurement_InstrumentRange,15154,Variable
MachineType_Level_Measurement_EURange,15155,Variable
MachineType_Level_Measurement_EngineeringUnits,15156,Variable
MachineInfoType,15162,ObjectType
MachineInfoType_MachineName,15164,Variable
MachineInfoType_IsProducing,15166,Variable
MachineInfoType_MachineState,15167,Variable
